GDID;Raum;Menge Kiste;Menge Flasche;Menge Einheit
723;BZ 1;0;4;0
724;BZ 1;0;4;0
1524;BZ 1;0;7;0
1526;BZ 1;0;2;0
1525;BZ 1;0;4;0
171;BZ 1;0;14;0
172;BZ 1;0;7;0
1483;BZ 2;0;0;20
961;BZ 2;0;1;0
88;BZ 2;0;0;2
1490;BZ 2;0;0;9
1451;BZ 2;0;1;2
1449;BZ 2;0;1;0
1450;BZ 2;0;0;5
172;BZ 2;0;0;0
866;BZ 2;0;0;6
606;BZ 2;0;0;2
804;BZ 2;0;0;0
1397;BZ 2;0;0;1
1489;BZ 2;0;0;0
962;BZ 3;0;7;0
963;BZ 3;0;9;0
980;BZ 3;0;8;0
1109;BZ 3;0;6;0
1110;BZ 3;0;6;0
631;BZ 4;0;3;0
934;BZ 4;0;10;0
923;BZ 4;0;7;0
935;BZ 4;0;11;0
1525;BZ 5;0;3;0
1526;BZ 5;0;3;0
1524;BZ 5;0;4;0
724;BZ 5;0;5;0
723;BZ 5;0;3;0
171;BZ 5;0;5;0
172;BZ 5;0;12;0
1489;BZ 6;0;0;3,5
1106;BZ 6;0;0;5
1108;BZ 6;0;4;0
1107;BZ 6;0;1;6
631;BZ 11;0;0;0
934;BZ 11;0;12;0
923;BZ 11;0;12;0
935;BZ 11;0;12;0
962;BZ 11;0;3;0
963;BZ 11;0;9;0
980;BZ 11;0;13;0
866;BZ 22;0;1;0
172;BZ 22;0;13;0
171;BZ 22;0;19;0
804;BZ 22;0;3;0
723;BZ 33;0;0;0
724;BZ 33;0;4;0
1524;BZ 33;0;24;0
1526;BZ 33;0;18;0
1525;BZ 33;0;14;0
1489;BZ 44;0;9;0
1106;BZ 44;0;5;0
1108;BZ 44;0;2;0
1451;BZ 44;0;3;0
1449;BZ 44;0;3;0
1450;BZ 44;0;4;0
606;BZ 44;0;14;0
1107;BZ 44;0;5;0
88;BZ 44;0;12;0
1397;BZ 44;0;1;0
1398;BZ 44;0;0;0
961;BZ 44;0;2;0
764;BZ 55;0;2;94
1490;BZ 55;0;1;0
140;BZ 55;0;1;84
1457;BZ 55;0;1;56
1487;BZ 55;0;1;59
1488;BZ 55;0;0;19
1455;BZ 55;0;2;0
1480;BZ 55;0;1;42
1456;BZ 55;0;2;0
1481;BZ 55;0;2;0
136;BZ 55;0;1;3
1479;BZ 55;0;2;0
1491;BZ Office;0;0;3
1452;BZ Office;0;5;0
1453;BZ Office;0;3;4
1454;BZ Office;0;3;5
1102;BZ Office;0;2;0
1483;BZ Office;0;3;0
1398;BZ Office;0;2;5
1488;BZ 55;0;0;82
